use,1,1,0,1,0,0,0,0,0
K40870905,NA,NA,CT-7758,integrin antagonist,ITGA4,NA,signaling receptor activity,drug,NA
K40887525,NA,NA,ritanserin,serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR6|HTR7,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K40901640,NA,NA,cinanserin,serotonin receptor antagonist,HTR2A,NA,G-protein coupled amine receptor activity,drug,NA
K40905133,NA,NA,phenacemide,sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,NA,ion channel activity,drug,NA
K40992116,NA,NA,parachlorophenol,antiinfective drug,NA,NA,NA,drug,NA
K41024817,NA,NA,4-phenolsulfonic-acid,NA,NA,NA,NA,drug,NA
K41051431,NA,NA,amdinocillin,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K41104902,NA,NA,GSK2656157,PERK inhibitor,NA,NA,NA,drug,NA
K41141507,NA,NA,cyproterone-acetate,androgen receptor antagonist,ADORA1|AR,NA,G-protein coupled receptor activity,drug,NA
K41143549,NA,NA,N20C,glutamate receptor antagonist,NA,NA,NA,drug,NA
K41160163,NA,NA,fenobam,glutamate receptor antagonist,GRM5,NA,G-protein coupled receptor activity,drug,NA
K41170226,NA,NA,deoxycholic-acid,biliverdin reductase A activator; G protein-coupled receptor agonist,EFTUD1|FPR1|GPBAR1,Rap1 signaling pathway,NA,drug,NA
K41185545,NA,NA,ambrisentan,endothelin receptor antagonist,EDNRA|EDNRB,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K41194171,NA,NA,LY310762,serotonin receptor antagonist,HTR1D,NA,G-protein coupled amine receptor activity,drug,NA
K41213548,NA,NA,KW-2478,HSP inhibitor,NA,NA,NA,drug,NA
K41234004,NA,NA,icomucret,mucin production enhancer,LTB4R2,NA,G-protein coupled receptor activity,drug,NA
K41256143,NA,NA,dehydroepiandrosterone,protein synthesis stimulant,ESR1|ESR2|G6PD|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|HSD17B1|NR1I2|NR1I3|PPARA|SIGMAR1|SULT2A1|SULT2B1,NA,signaling receptor activity,drug,NA
K41260949,NA,NA,divalproex-sodium,benzodiazepine receptor agonist,ALDH5A1,NA,NA,drug,NA
K41262162,NA,NA,DHBP,ryanodine receptor blocker,NA,NA,NA,drug,NA
K41267922,NA,NA,F351,TGF beta receptor inhibitor,TGFB1,NA,NA,drug,NA
K41278234,NA,NA,CUDC-101,EGFR inhibitor,EGFR|ERBB2,Calcium signaling pathway,protein serine/threonine kinase activity,drug,NA
K41298358,NA,NA,tetraethylenepentamine,superoxide dismutase inhibitor,SOD1|SOD2,NA,ion binding,drug,NA
K41304947,NA,NA,HA-966-(S)-(-),glutamate receptor antagonist,GRIA1,NA,extracellular ligand-gated ion channel activity,drug,NA
K41312087,NA,NA,GW-441756,growth factor receptor inhibitor,NTRK1,NA,protein kinase activity,drug,NA
K41337261,NA,NA,ZM-306416,Abl kinase inhibitor; src inhibitor; VEGFR inhibitor,EGFR|FLT1|FLT4|KDR,Rap1 signaling pathway,protein serine/threonine kinase activity,drug,NA
K41406082,NA,NA,sulfapyridine,PABA antagonist,NA,NA,NA,drug,NA
K41410256,NA,NA,balsalazide,cyclooxygenase inhibitor,ALOX5|PPARG|PTGS1|PTGS2,NA,ion binding,drug,NA
K41415459,NA,NA,RN-1,histone demethylase inhibitor,KDM1A,NA,small molecule binding,drug,NA
K41422683,NA,NA,stigmasterol,NA,NA,NA,NA,drug,NA
K41434598,NA,NA,org-9768,adrenergic receptor antagonist,ADRA2A,NA,G-protein coupled amine receptor activity,drug,NA
K41438959,NA,NA,perampanel,glutamate receptor antagonist,GRIA1|GRIA2|GRIA3|GRIA4,cAMP signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K41445866,NA,NA,alfaxalone,chloride channel agonist; benzodiazepine receptor agonist,GABBR1,NA,G-protein coupled receptor activity,drug,NA
K41458421,NA,NA,naloxegol,opioid receptor antagonist,OPRM1,NA,ion channel activity,drug,NA
K41494493,NA,NA,bisphenol-a,synthetic estrogen,AR|ESR1|ESR2|ESRRG|PPARG,NA,signaling receptor activity,drug,NA
K41504985,NA,NA,cabagin,NA,NA,NA,NA,drug,NA
K41524689,NA,NA,paracetamol,cyclooxygenase inhibitor,FAAH|PTGS1|PTGS2|TRPV1,NA,NA,drug,NA
K41564320,NA,NA,purvalanol-b,tyrosine kinase inhibitor,CDK2|CDK4|CDK5|MAPK1|MAPK3|SRPK2,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K41567364,NA,NA,SB-334867,orexin receptor antagonist,HCRTR1|HCRTR2,NA,G-protein coupled receptor activity,drug,NA
K41567533,NA,NA,coumophos,cholinesterase inhibitor,NA,NA,NA,drug,NA
K41592905,NA,NA,7-methylxanthine,adenosine receptor antagonist,NA,NA,NA,drug,NA
K41599323,NA,NA,lonafarnib,farnesyltransferase inhibitor,FNTA|HRAS|KRAS|NRAS,MAPK signaling pathway,transferase activity,drug,NA
K41626799,NA,NA,AZD3759,EGFR inhibitor,EGFR,NA,protein serine/threonine kinase activity,drug,NA
K41662846,NA,NA,tecalcet,calcium-sensing receptor agonist,CASR,NA,G-protein coupled receptor activity,drug,NA
K41705163,NA,NA,EC-144,HSP inhibitor,HSP90AA1|HSP90AB1,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K41707108,NA,NA,ceramide,phosphoenolpyruvate carboxylase activator; serine/threonine protein phosphatase activator,NA,NA,NA,drug,NA
K41713976,NA,NA,E-4031,potassium channel blocker,KCNH1|KCNH2,NA,ion channel activity,drug,NA
K41731458,NA,NA,triclosan,antibacterial agent,DNMT1,NA,transferase activity,drug,NA
K41772907,NA,NA,tolimidone,src activator,LYN|SRC,Rap1 signaling pathway,protein kinase activity,drug,NA
K41779183,NA,NA,CB-03-01,androgen receptor antagonist,AR,NA,signaling receptor activity,drug,NA
K41783120,NA,NA,STA-5326,interleukin synthesis inhibitor,IL12A,NA,NA,drug,NA
K41809988,NA,NA,oxidopamine,neurotoxin,NA,NA,NA,drug,NA
K41853443,NA,NA,"1,3-dipropyl-8-phenylxanthine",adenosine receptor antagonist,NA,NA,NA,drug,NA
K41859756,NA,NA,NVP-AUY922,HSP inhibitor,HSP90AA1|HSP90AB1,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K41866823,NA,NA,2-hydroxyethyl-salicylate,NA,NA,NA,NA,drug,NA
K41869275,NA,NA,2-phenylmelatonin,melatonin receptor agonist,MTNR1A|MTNR1B,NA,G-protein coupled receptor activity,drug,NA
K41876534,NA,NA,tioxolone,carbonic anhydrase inhibitor,CA2,NA,ion binding,drug,NA
K41895652,NA,NA,JNJ-27141491,CC chemokine receptor antagonist,CCR2,NA,G-protein coupled receptor activity,drug,NA
K41918892,NA,NA,A-769662,AMPK activator,NA,NA,NA,drug,NA
K41933240,NA,NA,curcumol,JAK inhibitor,JAK1|JAK2|JAK3,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K41962502,NA,NA,"cis-exo-camphanediol-2,3",nitric oxide stimulant,NOS3,NA,small molecule binding,drug,NA
K42009284,NA,NA,OT-R-antagonist-1,oxytocin receptor antagonist,AVPR1A|OXTR,Calcium signaling pathway,G-protein coupled receptor activity,drug,NA
K42019693,NA,NA,pyridoxal-isonicotinoyl-hydrazone,apoptosis stimulant,NA,NA,NA,drug,NA
K42066335,NA,NA,lorediplon,GABA receptor modulator,GABRA1,NA,extracellular ligand-gated ion channel activity,drug,NA
K42090719,NA,NA,trichloroacetic-acid,NA,NA,NA,NA,drug,NA
K42095107,NA,NA,daidzein,estrogen receptor agonist,ESRRA|ESRRB|ESRRG|TRPC5,NA,signaling receptor activity,drug,NA
K42098891,NA,NA,protriptyline,tricyclic antidepressant,SLC6A2|SLC6A4,NA,transmembrane transporter activity,drug,NA
K42108215,NA,NA,4-propylbenzoic-acid,NA,NA,NA,NA,drug,NA
K42140276,NA,NA,alarelin,gonadotropin releasing factor hormone receptor antagonist,GNRH1,NA,NA,drug,NA
K42191735,NA,NA,buparlisib,PI3K inhibitor,PIK3CA|PIK3CG,cAMP signaling pathway,protein serine/threonine kinase activity,drug,NA
K42205652,NA,NA,"MNS-(3,4-Methylenedioxy-nitrostyrene)",src inhibitor; syk inhibitor,SRC|SYK,PI3K-Akt signaling pathway,NA,drug,NA
K42221274,NA,NA,NNC-711,GABA uptake inhibitor,SIGMAR1|SLC6A1,NA,G-protein coupled receptor activity,drug,NA
K42317111,NA,NA,quinaprilat,angiotensin converting enzyme inhibitor,ACE,NA,ion binding,drug,NA
K42325600,NA,NA,AR-C155858,monocarboxylate transporter inhibitor,SLC16A1|SLC16A7,NA,transmembrane transporter activity,drug,NA
K42332878,NA,NA,indium-tri(2-propanolate),NA,NA,NA,NA,drug,NA
K42336459,NA,NA,p-dimethylinamyl-benzoate,NA,NA,NA,NA,drug,NA
K42348709,NA,NA,cyclobenzaprine,adrenergic receptor agonist; serotonin receptor agonist,HTR2A,NA,G-protein coupled amine receptor activity,drug,NA
K42352790,NA,NA,anandamide,cannabinoid receptor agonist,CACNA1G|CACNA1H|CACNA1I|CNR1|CNR2|GLRA1|GPR18|GPR55|KCNA2|KCNK3|KCNK9|TRPM8|TRPV1,Calcium signaling pathway,ion channel activity,drug,NA
K42371134,NA,NA,phenylethyl-alcohol,NA,NA,NA,NA,drug,NA
K42417338,NA,NA,butorphanol-(+)-tartrate,opioid receptor agonist; opioid receptor antagonist,OPRD1|OPRK1|OPRM1,NA,G-protein coupled receptor activity,drug,NA
K42436189,NA,NA,AZ20,ATR kinase inhibitor,ATR|MTOR,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K42452249,NA,NA,EO-1428,p38 MAPK inhibitor,MAPK11|MAPK14,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K42495768,NA,NA,tasisulam,apoptosis stimulant,NA,NA,NA,drug,NA
K42500029,NA,NA,CGP-57380,MAP kinase inhibitor,AURKB|LCK|MKNK1|MKNK2|SGK1,MAPK signaling pathway,protein serine/threonine kinase activity,drug,NA
K42504537,NA,NA,norelgestromin,NA,PGR,NA,signaling receptor activity,drug,NA
K42536037,NA,NA,EPPTB,trace amine associated receptor antagonist,TAAR1,NA,G-protein coupled amine receptor activity,drug,NA
K42563464,NA,NA,YM-58483,calcium channel blocker,TRPC3|TRPC5|TRPM4,NA,ion channel activity,drug,NA
K42596464,NA,NA,oxolamine,antitussive,NA,NA,NA,drug,NA
K42607789,NA,NA,pyrazoloacridine,topoisomerase inhibitor,TOP1|TOP2A,NA,heterocyclic compound binding,drug,NA
K42624714,NA,NA,BML-284,WNT agonist,NA,NA,NA,drug,NA
K42629487,NA,NA,SF-11,neuropeptide receptor antagonist,MCOLN3|NPY2R,NA,ion channel activity,drug,NA
K42673188,NA,NA,verubulin,tubulin polymerization inhibitor,TUBB,NA,small molecule binding,drug,NA
K42679050,NA,NA,Y-27152,potassium channel activator,KCNJ8,NA,ion channel activity,drug,NA
K42728290,NA,NA,NVP-BGJ398,FGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|KDR,MAPK signaling pathway,protein kinase activity,drug,NA
K42748308,NA,NA,XE-991,potassium channel blocker,KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5,NA,ion channel activity,drug,NA
K42756753,NA,NA,epiandrosterone,steroid,G6PD,NA,small molecule binding,drug,NA
K42805893,NA,NA,osimertinib,EGFR inhibitor,EGFR,NA,protein serine/threonine kinase activity,drug,NA
K42816473,NA,NA,zilpaterol,adrenergic receptor agonist,ADRB2,NA,G-protein coupled amine receptor activity,drug,NA
K42828737,NA,NA,sunitinib,FLT3 inhibitor; KIT inhibitor; PDGFR tyrosine kinase receptor inhibitor; RET tyrosine kinase inhibitor; VEGFR inhibitor,CSF1R|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,MAPK signaling pathway,protein kinase activity,drug,NA
K42859542,NA,NA,CFM-2,glutamate receptor antagonist,NA,NA,NA,drug,NA
K42898655,NA,NA,temsirolimus,mTOR inhibitor,MTOR,NA,NA,drug,NA
K42938903,NA,NA,acetophenazine,dopamine receptor antagonist,DRD1|DRD2,cAMP signaling pathway,neurotransmitter receptor activity,drug,NA
K42948882,NA,NA,AMD11070,CC chemokine receptor antagonist,CXCR4,NA,G-protein coupled receptor activity,drug,NA
K42959922,NA,NA,trans-2-Undecenoic-acid,NA,NA,NA,NA,drug,NA
K42973005,NA,NA,CHIR-98014,glycogen synthase kinase inhibitor,GSK3A|GSK3B,PI3K-Akt signaling pathway,protein serine/threonine kinase activity,drug,NA
K42981054,NA,NA,mibampator,glutamate receptor modulator,GRIA1,NA,extracellular ligand-gated ion channel activity,drug,NA
K42991124,NA,NA,creatinol-phosphate,NA,NA,NA,NA,drug,NA
K43002771,NA,NA,SR-33805,calcium channel blocker,NA,NA,NA,drug,NA
K43055376,NA,NA,ADD-233089,benzodiazepine receptor agonist,NA,NA,NA,drug,NA
K43106192,NA,NA,gallamine-triethiodide,acetylcholine receptor antagonist,ACHE|CHRM2|CHRNA1|CHRNA2,Calcium signaling pathway,ion binding,drug,NA
K43149758,NA,NA,myricetin,androgen receptor agonist; cytochrome P450 inhibitor,PIK3CG,NA,protein serine/threonine kinase activity,drug,NA
K43164539,NA,NA,cholic-acid,bile acid,ADH1C|CES1|COX4I1|COX5A|COX5B|COX6A2|COX6B1|COX6C|COX7A1|COX7B|COX7C|COX8A|ESRRG|FABP6|FECH|GPBAR1|MT-CO1|MT-CO2|MT-CO3|PLA2G1B,NA,ion binding,drug,NA
K43167535,NA,NA,C34,toll-like receptor inhibitor,TLR4,NA,signaling receptor activity,drug,NA
K43187018,NA,NA,GDC-0349,Pim kinase inhibitor,PIK3CA,NA,protein serine/threonine kinase activity,drug,NA
K43187796,NA,NA,3-indolebutyric-acid,NA,B2M|HLA-A|TRAC|TRBC1,NA,NA,drug,NA
K43192255,NA,NA,methyllycaconitine,acetylcholine receptor antagonist,CHRNA7,NA,extracellular ligand-gated ion channel activity,drug,NA
K43230258,NA,NA,crisaborole,phosphodiesterase inhibitor,PDE4B,NA,small molecule binding,drug,NA
K43236057,NA,NA,polydatin,ICAM1 expression inhibitor,ICAM1,NA,signaling receptor activity,drug,NA
K43305603,NA,NA,rocuronium,acetylcholine receptor antagonist,CHRM2|CHRNA2|HTR3A,NA,G-protein coupled amine receptor activity,drug,NA
K43316319,NA,NA,MK-2295,TRPV antagonist,TRPV1,NA,extracellular ligand-gated ion channel activity,drug,NA
K43330982,NA,NA,JTE-013,lysophospholipid receptor antagonist,P2RY10|S1PR2,NA,G-protein coupled receptor activity,drug,NA
K43363084,NA,NA,atglistatin,adipose triglyceride lipase inhibitor,NA,NA,NA,drug,NA
K43383936,NA,NA,flopropione,serotonin receptor antagonist,HTR1A,NA,G-protein coupled amine receptor activity,drug,NA
K43389675,NA,NA,daunorubicin,RNA synthesis inhibitor; topoisomerase inhibitor,TOP2A|TOP2B,NA,ATP binding,drug,NA
K43389698,NA,NA,BMS-387032,CDK inhibitor; cell cycle inhibitor; MCL1 inhibitor,CDK2|CDK7|CDK9,NA,protein serine/threonine kinase activity,drug,NA
K43410529,NA,NA,MLN2480,RAF inhibitor,NA,NA,NA,drug,NA
K43419711,NA,NA,Wy-16922,histamine release inhibitor,NA,NA,NA,drug,NA
K43428468,NA,NA,PF-4800567,casein kinase inhibitor,CSNK1D|CSNK1E,NA,protein serine/threonine kinase activity,drug,NA
K43436647,NA,NA,ARQ-621,kinesin-like spindle protein inhibitor,KIF11,NA,ATP binding,drug,NA
K43449605,NA,NA,oncrasin-1,apoptosis stimulant,NA,NA,NA,drug,NA
K43457670,NA,NA,acetazolamide,carbonic anhydrase inhibitor,AQP1|CA1|CA12|CA14|CA2|CA3|CA4|CA7,NA,ion channel activity,drug,NA
K43471985,NA,NA,OTX015,bromodomain inhibitor,BRD2|BRD3|BRD4,NA,NA,drug,NA
K43570081,NA,NA,geldanamycin,HSP inhibitor,HSP90AA1|HSP90AB1,PI3K-Akt signaling pathway,protein kinase activity,drug,NA
K43578482,NA,NA,defactinib,focal adhesion kinase inhibitor,PTK2,NA,protein kinase activity,drug,NA
K43586850,NA,NA,lacidipine,calcium channel blocker,CACNA1C,NA,ion channel activity,drug,NA
K43621685,NA,NA,CP-673451,PDGFR tyrosine kinase receptor inhibitor,KIT|PDGFRA|PDGFRB,Calcium signaling pathway,protein kinase activity,drug,NA
K43639297,NA,NA,hemoglobin-modulators-1,hemoglobin modulator,NA,NA,NA,drug,NA
K43644456,NA,NA,WP1130,deubiquitinase inhibitor,JAK2|UCHL5|USP14|USP9X,NA,protein kinase activity,drug,NA
K43647122,NA,NA,nerbacadol,cyclooxygenase inhibitor,NA,NA,NA,drug,NA
K43687498,NA,NA,dimethadione,oxazolidine antiepileptic,NA,NA,NA,drug,NA
K43736954,NA,NA,cortodoxone,androgen receptor antagonist,AR,NA,signaling receptor activity,drug,NA
K43786866,NA,NA,opipramol,sigma receptor agonist,NA,NA,NA,drug,NA
K43797669,NA,NA,genistein,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,NA,ion channel activity,drug,NA
K43802723,NA,NA,AMG-837,free fatty acid receptor agonist,FFAR1,NA,G-protein coupled receptor activity,drug,NA
K43806473,NA,NA,camostat-mesilate,protease inhibitor,PRSS1,NA,ion binding,drug,NA
K43812936,NA,NA,Mps1-IN-5,protein kinase inhibitor,NA,NA,NA,drug,NA
K43837174,NA,NA,pruvanserin,serotonin receptor antagonist,HTR2A|HTR2C,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K43860855,NA,NA,iobenguane,antineoplastic agent,NA,NA,NA,drug,NA
K43873574,NA,NA,ilepcimide,anticonvulsant,NA,NA,NA,drug,NA
K43880410,NA,NA,pregnenolone,glutamate receptor modulator,CYP17A1|SULT2B1,NA,ion binding,drug,NA
K43883465,NA,NA,levobetaxolol,adrenergic receptor antagonist,ADRB1|ADRB2,Calcium signaling pathway,G-protein coupled amine receptor activity,drug,NA
K43887077,NA,NA,dopamine,dopamine receptor agonist,DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4,Calcium signaling pathway,small molecule binding,drug,NA
K43890836,NA,NA,gemcadiol,antilipemic,NA,NA,NA,drug,NA
K43905307,NA,NA,"L-798,106",prostanoid receptor antagonist,PTGER3,NA,G-protein coupled receptor activity,drug,NA
K43914553,NA,NA,CDK9-IN-6,CDK inhibitor,CDK9,NA,protein serine/threonine kinase activity,drug,NA
K43927145,NA,NA,BIBN4096,calcitonin antagonist,CALCA|CALCRL|RAMP1,NA,NA,drug,NA
K43966364,NA,NA,penicillin-v-potassium,bacterial cell wall synthesis inhibitor,NA,NA,NA,drug,NA
K43975632,NA,NA,terutroban,prostanoid receptor antagonist,TBXA2R,NA,G-protein coupled receptor activity,drug,NA
K43978949,NA,NA,PIT,purinergic receptor antagonist,P2RY1,NA,G-protein coupled receptor activity,drug,NA
K43992824,NA,NA,zoniporide,sodium/hydrogen exchanger inhibitor,SLC9A1,NA,transmembrane transporter activity,drug,NA
K44004064,NA,NA,acefylline,adenosine receptor agonist,ADORA1,NA,G-protein coupled receptor activity,drug,NA
K44009692,NA,NA,hyodeoxycholic-acid,atherosclerosis formation inhibitor,NA,NA,NA,drug,NA
K44022883,NA,NA,MRK-016,GABA receptor inverse agonist,GABRA1|GABRA2|GABRA3|GABRA5,NA,extracellular ligand-gated ion channel activity,drug,NA
K44030614,NA,NA,ponesimod,sphingosine 1 phosphate receptor agonist,S1PR1,NA,G-protein coupled receptor activity,drug,NA
K44043890,NA,NA,PK-THPP,potassium channel blocker,KCNK9,NA,ion channel activity,drug,NA
K44067360,NA,NA,flufenamic-acid,chloride channel blocker,AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5,NA,NA,drug,NA
K44084986,NA,NA,Y-27632,rho associated kinase inhibitor,PKIA|PKN2|PRKACA|PRKCE|ROCK1|ROCK2,PI3K-Akt signaling pathway,kinase activity,drug,NA
K44091134,NA,NA,fluprazine,serotonin receptor agonist,HTR1A|HTR1B,cAMP signaling pathway,G-protein coupled amine receptor activity,drug,NA
K44091963,NA,NA,phenyl-salicylate,antiseptic,NA,NA,NA,drug,NA
K44133266,NA,NA,sulbactam,beta lactamase inhibitor,NA,NA,NA,drug,NA
K44164034,NA,NA,pumosetrag,serotonin receptor agonist,HTR3A|HTR4,Calcium signaling pathway,extracellular ligand-gated ion channel activity,drug,NA
K44184170,NA,NA,ospemifene,selective estrogen receptor modulator (SERM),ESR1|ESR2,NA,signaling receptor activity,drug,NA
K44227013,NA,NA,ponatinib,Bcr-Abl kinase inhibitor; FLT3 inhibitor; PDGFR tyrosine kinase receptor inhibitor,ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK,MAPK signaling pathway,NA,drug,NA
K44273375,NA,NA,tolnaftate,fungal squalene epoxidase inhibitor,NA,NA,NA,drug,NA
K44276885,NA,NA,acarbose,glucosidase inhibitor,AMY2A|GAA|MGAM|SI,NA,ion binding,drug,NA
K44309363,NA,NA,dexniguldipine,calmodulin antagonist,ADORA3,NA,G-protein coupled receptor activity,drug,NA
K44353683,NA,NA,nateglinide,insulin secretagogue,ABCC8|KCNJ10|KCNJ11|PPARG,NA,ion channel activity,drug,NA
K44366189,NA,NA,anacetrapib,cholesteryl ester transfer protein inhibitor,CETP,NA,small molecule binding,drug,NA
K44400149,NA,NA,PhiKan-083,p53 stabilizing agent,TP53,NA,ATP binding,drug,NA
K44408410,NA,NA,2-methoxyestradiol,hypoxia inducible factor inhibitor,COMT|CYP19A1|CYP1A1|CYP1B1|HIF1A|TUBB,NA,transferase activity,drug,NA
K44432556,NA,NA,ML-228,hypoxia inducible factor activator,HIF1A,NA,NA,drug,NA
K44442813,NA,NA,pidotimod,interferon receptor agonist; interleukin receptor agonist,NA,NA,NA,drug,NA
K44471774,NA,NA,bay-w-9798,antioxidant,NA,NA,NA,drug,NA
K44590731,NA,NA,TU-2100,NA,NA,NA,NA,drug,NA
K44602126,NA,NA,"2,3-cis/exo-camphanediol",NA,NA,NA,NA,drug,NA
K44665581,NA,NA,bromosporine,bromodomain inhibitor,NA,NA,NA,drug,NA
K44715996,NA,NA,LDC1267,protein tyrosine kinase inhibitor,AXL|MERTK|TYRO3,NA,protein kinase activity,drug,NA
K44731351,NA,NA,AL-8697,p38 MAPK inhibitor,MAPK14,NA,protein serine/threonine kinase activity,drug,NA
K44771174,NA,NA,ibutamoren,growth hormone secretagogue receptor agonist,GHR|GHSR,cAMP signaling pathway,signaling receptor activity,drug,NA
K44777569,NA,NA,fenoxaprop-p-ethyl,NA,NOS2|NOS3,Calcium signaling pathway,small molecule binding,drug,NA
K44777625,NA,NA,FH1,hepatocyte function enhancer,NA,NA,NA,drug,NA
K44779798,NA,NA,miglitol,glucosidase inhibitor,GAA|GANAB|GANC|MGAM,NA,NA,drug,NA
K44824027,NA,NA,beclamide,anticonvulsant,NA,NA,NA,drug,NA
K44825564,NA,NA,ZAPA,NA,NA,NA,NA,drug,NA
K44827188,NA,NA,vismodegib,hedgehog pathway inhibitor; smoothened receptor antagonist,SMO,NA,G-protein coupled receptor activity,drug,NA
K44844162,NA,NA,taselisib,PI3K inhibitor,PIK3CA,NA,protein serine/threonine kinase activity,drug,NA
K44849676,NA,NA,capsazepine,TRPV agonist,TRPV1|TRPV4,NA,extracellular ligand-gated ion channel activity,drug,NA
K44869961,NA,NA,GPI-1046,FKBP inhibitor,FKBP1A,NA,heterocyclic compound binding,drug,NA
K44876623,NA,NA,zolpidem,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3,NA,extracellular ligand-gated ion channel activity,drug,NA
K44942188,NA,NA,fomocaine,voltage-gated sodium channel modulator,NA,NA,NA,drug,NA
K44942604,NA,NA,pentolinium,cholinergic receptor antagonist,CHRNA10|CHRNA3|CHRNA4|CHRNB4,NA,extracellular ligand-gated ion channel activity,drug,NA
K44963273,NA,NA,HQK-1001,NA,NA,NA,NA,drug,NA
K44974079,NA,NA,ticagrelor,purinergic receptor antagonist,P2RY12,NA,G-protein coupled receptor activity,drug,NA
K44993696,NA,NA,atenolol-(-),adrenergic receptor antagonist,NA,NA,NA,drug,NA
K45014108,NA,NA,ephedrine,adrenergic receptor agonist,ACHE|ADRA1A|ADRB2|SLC18A2|SLC6A2,Calcium signaling pathway,ion binding,drug,NA
K45033733,NA,NA,famciclovir,DNA polymerase inhibitor,NA,NA,NA,drug,NA
K45044657,NA,NA,TC-H-106,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC8,NA,heterocyclic compound binding,drug,NA
